指标,机器打分(原始),机器打分(治理后),人工打分
平均值,3.2244525547445257,3.6560423357664233,66.89079050479663
中位数,3.0,3.0,78.5
标准差,0.719758089640514,1.2655893640907598,33.53161507349482
最小值,3.0,3.0,2.697010485861298
最大值,7.0,10.11,120.0
样本数,274.0,-,274.0
